cliente_id,edad,ingreso,prestamo,cuota,sector,antiguedad_laboral,mora
1,35,19118.00,185313.00,3496.47,Comercio,3,No
2,43,12083.00,134250.00,8390.62,Gobierno,18,No
3,63,17289.00,72609.00,1396.33,Gobierno,22,No
4,56,6918.00,102832.00,2337.09,Comercio,27,No
5,23,11504.00,47689.00,973.24,Servicios,10,No
6,23,18107.00,186739.00,9336.95,Industria,11,Sí
7,42,16746.00,171788.00,2454.11,Comercio,9,No
8,24,12557.00,143834.00,2766.04,Servicios,24,No
9,26,23579.00,53037.00,883.95,Servicios,17,No
10,63,13571.00,87892.00,1373.31,Industria,8,No
11,57,14879.00,30122.00,654.83,Industria,26,No
12,53,7709.00,8381.00,419.05,Industria,11,No
13,30,18889.00,113001.00,3424.27,Comercio,6,No
14,55,8064.00,136958.00,5267.62,Comercio,13,No
15,28,18089.00,25027.00,1317.21,Comercio,15,No
16,43,14410.00,86677.00,1547.80,Servicios,26,No
17,41,17481.00,161670.00,3592.67,Servicios,22,No
18,27,12983.00,12539.00,212.53,Servicios,4,No
19,33,7664.00,185367.00,7129.50,Servicios,2,Sí
20,27,16920.00,186093.00,3101.55,Comercio,0,No
21,22,18868.00,118048.00,8432.00,Comercio,15,Sí
22,62,6896.00,71325.00,5094.64,Comercio,24,Sí
23,58,6162.00,37451.00,535.01,Servicios,18,No
24,42,9554.00,53439.00,989.61,Comercio,2,No
25,57,7769.00,77712.00,1079.33,Industria,11,No
26,59,8261.00,136238.00,2233.41,Servicios,16,No
27,57,21685.00,22914.00,1273.00,Comercio,16,No
28,30,10110.00,192645.00,8026.88,Comercio,23,No
29,52,6233.00,61102.00,872.89,Gobierno,11,No
30,63,22312.00,53529.00,1338.22,Comercio,5,No
31,33,14626.00,104513.00,2679.82,Servicios,13,No
32,53,6697.00,87386.00,4599.26,Servicios,15,Sí
33,22,14837.00,189740.00,6324.67,Comercio,10,No
34,38,19177.00,35335.00,981.53,Gobierno,19,No
35,48,13223.00,185105.00,2847.77,Servicios,17,No
36,47,16345.00,81176.00,1229.94,Servicios,27,No
37,63,5280.00,129695.00,1801.32,Industria,5,No
38,45,3418.00,181726.00,4226.19,Gobierno,16,No
39,45,24579.00,182345.00,10726.18,Gobierno,22,Sí
40,30,22351.00,31665.00,536.69,Comercio,11,No
41,45,9523.00,93770.00,3907.08,Comercio,7,No
42,37,16916.00,195106.00,4537.35,Industria,24,No
43,50,24097.00,109919.00,3232.91,Gobierno,15,No
44,49,19758.00,78109.00,3719.48,Comercio,3,No
45,34,11214.00,133277.00,3099.47,Servicios,0,No
46,51,6263.00,198409.00,13227.27,Comercio,5,No
47,40,15538.00,163488.00,2972.51,Servicios,9,No
48,62,23380.00,168376.00,9354.22,Gobierno,25,No
49,62,18270.00,57935.00,1931.17,Gobierno,15,No
50,41,19541.00,73593.00,1599.85,Comercio,30,No
51,44,4035.00,117828.00,1732.76,Gobierno,10,No
52,22,15331.00,121013.00,2951.54,Comercio,5,No
53,39,21240.00,177860.00,2654.63,Servicios,15,No
54,65,17112.00,40255.00,1298.55,Gobierno,15,No
55,55,6584.00,154121.00,2802.20,Gobierno,15,Sí
56,23,21423.00,45975.00,1044.89,Gobierno,8,No
57,59,19210.00,159938.00,4442.72,Industria,24,No
58,22,12320.00,89012.00,5934.13,Servicios,26,Sí
59,57,15006.00,96455.00,1531.03,Comercio,24,No
60,26,23485.00,94458.00,2623.83,Gobierno,11,No
61,23,14710.00,112984.00,3323.06,Servicios,7,No
62,64,10688.00,174891.00,5641.65,Comercio,27,No
63,30,12991.00,35007.00,1060.82,Comercio,17,No
64,62,13686.00,14798.00,360.93,Gobierno,18,No
65,21,19867.00,115407.00,3979.55,Gobierno,18,No
66,40,3728.00,87972.00,2443.67,Comercio,25,No
67,63,19002.00,31229.00,557.66,Servicios,10,No
68,62,19276.00,136797.00,2171.38,Industria,5,No
69,47,23146.00,83517.00,2386.20,Servicios,15,No
70,54,23822.00,24744.00,380.68,Servicios,9,No
71,56,11688.00,17460.00,563.23,Gobierno,25,No
72,25,10401.00,168727.00,2859.78,Comercio,18,No
73,56,14037.00,76660.00,4791.25,Gobierno,13,No
74,24,9872.00,96046.00,1549.13,Industria,16,No
