Trimestre,Año,numerario en circulacion,credito bancario total al sector privado,medios de pagos totales,spread bancario en mn ,spread bancario en me,remesas familiares,PIB Trimestral
1,2015,70278.30,465675.20,558854.60,8.03%,3.03%,10677.93,"117,897.3"
2,2015,71145.80,470759.00,564714.40,7.94%,3.02%,11991.96,"116,183.4"
3,2015,73002.30,475810.10,571462.50,7.83%,2.98%,12584.58,"118,716.5"
4,2015,73663.80,480657.70,574962.50,7.75%,2.95%,12949.65,"123,225.6"
1,2016,77432.80,518424.90,604368.30,7.59%,3.01%,12796.27,"123,838.5"
2,2016,77830.90,520442.70,611167.30,7.61%,3.03%,14215.73,"122,799.4"
3,2016,79324.20,523964.60,614850.40,7.65%,3.06%,13336.83,"124,518.0"
4,2016,83048.90,536542.80,628914.30,7.67%,3.10%,14168.37,"130,845.7"
1,2017,89216.90,544840.40,641288.30,7.61%,3.04%,14434.38,"131,682.7"
2,2017,90815.30,549986.50,656254.70,7.63%,3.02%,15522.05,"127,650.4"
3,2017,91484.10,551249.30,665484.70,7.64%,3.02%,14947.24,"130,291.7"
4,2017,95375.60,561622.80,679206.00,7.65%,3.03%,15405.75,"136,882.6"
1,2018,99364.60,566915.80,692491.80,7.78%,3.11%,14907.84,"136,945.1"
2,2018,97686.30,573378.70,705501.60,7.77%,3.12%,17751.23,"134,587.6"
3,2018,99746.40,579263.40,719265.90,7.76%,3.15%,18340.31,"136,449.4"
4,2018,107385.60,598683.60,738983.60,7.75%,3.19%,19058.12,"143,385.9"
1,2019,110022.40,606750.20,756806.40,7.73%,3.42%,17050.81,"144,940.7"
2,2019,111459.20,615318.70,770431.50,7.75%,3.45%,20929.46,"145,359.2"
3,2019,115678.40,617310.70,788696.50,7.72%,3.45%,21720.56,"147,623.6"
4,2019,124789.30,632550.30,812983.60,7.68%,3.42%,21349.42,"156,048.5"
1,2020,128518.00,646737.50,839986.00,7.81%,3.16%,18385.73,"151,214.2"
2,2020,138702.20,663936.70,876841.80,7.85%,3.15%,19220.53,"136,507.7"
3,2020,149306.00,657969.10,925433.60,7.88%,3.15%,24604.32,"150,128.8"
4,2020,158714.60,672521.10,970135.80,7.93%,3.14%,25609.39,"162,271.8"
1,2021,164650.90,682707.10,1004037.20,8.04%,3.42%,24344.50,"162,670.4"
2,2021,165612.50,698395.30,1027504.00,8.05%,3.41%,29654.79,"161,775.5"
3,2021,170488.60,718130.70,1050036.70,8.06%,3.41%,31344.30,"167,039.9"
4,2021,180156.30,749025.80,1078804.90,8.07%,3.41%,33205.39,"177,193.0"
1,2022,188493.90,775152.90,1124387.40,7.99%,3.04%,30368.50,"179,171.0"
2,2022,191889.40,804250.30,1145884.80,8.01%,2.98%,36806.44,"179,610.5"
3,2022,196033.20,834760.20,1172161.90,8.04%,2.97%,35869.92,"185,624.2"
4,2022,205177.20,876478.10,1204517.80,8.06%,2.95%,37146.69,"196,401.9"
1,2023,213535.30,897415.80,1239764.00,7.89%,3.28%,34774.84,"200,405.8"
2,2023,219051.40,923779.90,1266321.20,7.87%,3.30%,40936.44,"200,133.3"
3,2023,226073.90,954835.00,1288164.60,7.85%,3.31%,40298.04,"203,402.0"
4,2023,235883.30,998392.90,1295463.20,7.83%,3.30%,39478.06,"212,918.7"
1,2024,241648.70,1041338.40,1315673.20,7.55%,3.33%,36661.63,"214,009.8"
2,2024,241964.20,1071839.40,1334439.40,7.49%,3.29%,43530.99,"213,837.1"
3,2024,245878.30,1097745.90,1353332.80,7.44%,3.26%,43174.11,"219,785.4"
4,2024,254391.70,1127876.00,1387724.90,7.41%,3.24%,43908.46,"230,755.2"
1,2025,259548.00,1155665.20,1421946.50,7.60%,3.24%,43633.43,"230,802.6"
2,2025,268673.20,1185001.30,1465146.90,7.64%,3.24%,49964.11,"231,747.8"
3,2025,278106.60,1209891.40,1517531.70,7.66%,3.21%,52550.14,"235,583.1"
4,2025,290739.50,1223336.30,1573084.10,7.68%,3.21%,50366.69,"248,872.0"
